,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,The new Hugh Hefner,new hugh hefner,"['new', 'hugh', 'hefner']", ,0.0,neu,chefjabari, ,0
1,Wow! Amazing. You started it from the ground up with nothing and look how far… oh wait your dad is a billionaire who gave you a bunch of money and you spent it on escorts. Cool man,wow amaz start ground noth look far oh wait dad billionair gave bunch money spent escort cool man,"['wow', 'amaz', 'start', 'ground', 'noth', 'look', 'far', 'oh', 'wait', 'dad', 'billionair', 'gave', 'bunch', 'money', 'spent', 'escort', 'cool', 'man']", ,0.7269,pos,el_duderino_dan, ,0
2,@el_dooo0oood, ,[], ,0.0,neu,abdalla.talaat,el_dooo0oood ,0
3,Someday i will be rich too.,someday rich,"['someday', 'rich']", ,0.5574,pos,gmnkym23, ,0
4,😂😂😂😂😂, ,[],😂😂😂😂😂,0.2209684037751333,neu,michal_.ciszewski, ,0
5,😍, ,[],😍,0.6779367825129737,neu,jaybairagi3, ,0
6,@karingranillo34 tssss pronto,tssss pronto,"['tssss', 'pronto']", ,0.0,neu,johnnytello93,karingranillo34 ,0
7,This guy 🙌🙌🙌🔥🔥,guy,['guy'],🙌🙌🙌🔥🔥,0.32680746547858736,neu,djbiginf, ,0
8,@maingkthi, ,[], ,0.0,neu,ankyngo,maingkthi ,0
9,How was the K club? @danbilzerian,k club,"['k', 'club']", ,0.0,neu,craigjameschandler,danbilzerian ,0
10,Hugh Hefner’s baton has definitely been passed!,hugh hefner baton definit pass,"['hugh', 'hefner', 'baton', 'definit', 'pass']", ,0.0,neu,motoxap, ,0
11,@zaidahmed1446 @mateen_nizz, ,[], ,0.0,neu,nizamani.yousaf,zaidahmed1446 mateen_nizz ,1
12,❤️🔥🔥🔥🔥😮😮, ,[],❤🔥🔥🔥🔥😮😮,0.26582604243193303,neu,serpa_thilen, ,0
