,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,A Roma in barca? E dove?,roma barca e dove,"['roma', 'barca', 'e', 'dove']", ,0.0,neu,marijolie81, ,0
1,😍, ,[],😍,0.6779367825129737,neu,chiarahbreals, ,0
2,Hi beautiful enjoy Italy 👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️,hi beauti enjoy itali,"['hi', 'beauti', 'enjoy', 'itali']",👍👍👍👍👍❤❤❤❤❤❤❤,0.613048777027344,pos,italiancarman25, ,0
3,Pretty woman,pretti woman,"['pretti', 'woman']", ,0.0,neu,my.sealifguard, ,0
4,Wonder Woman. 😃😃😃😄🙂,wonder woman,"['wonder', 'woman']",😃😃😃😄🙂,0.34936013779457503,neu,emperorpalpatine_1, ,0
5,Shall we go shopping with you? 😊,shall go shop,"['shall', 'go', 'shop']",😊,0.16117388575015695,neu,malikolayan, ,0
6,And so am I 😘, ,[],😘,0.7017543859649124,neu,anegel_of_love_and_peace_7, ,0
7,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,theworldofthewomanbyeve, ,0
8,amore mio 🥰,amor mio,"['amor', 'mio']",🥰,0.6124,pos,maxon8rr, ,0
9,LOVE That Outfit!!! I must find it!!,love outfit must find,"['love', 'outfit', 'must', 'find']", ,0.6369,pos,christinewinans, ,0
10,😍😍😍😍😍, ,[],😍😍😍😍😍,0.6779367825129737,neu,cristian77barrera, ,0
11,Love it 😊,love,['love'],😊,0.6407977715003139,pos,hina.cao, ,0
12,Amatissima,amatissima,['amatissima'], ,0.0,neu,rihabeomrane, ,0
13,HOST THE EUROVISION IN THE UK MOM 🇬🇧,host eurovis uk mom,"['host', 'eurovis', 'uk', 'mom']", ,0.0,neu,queen.aesthetik1, ,0
14,❤️❤️❤️❤️, ,[],❤❤❤❤,0.7460869565217392,neu,amandiknowles, ,0
15,@m0m_is_born, ,[], ,0.0,neu,gppvolpe,m0m_is_born ,0
16,Get back to the mainland smh,get back mainland smh,"['get', 'back', 'mainland', 'smh']", ,-0.3182,neu,louisagimt, ,0
17,🥵🇮🇹💋✨✨ Captain!,captain,['captain'],🥵💋✨✨,0.34966229242712454,neu,_nattmusic, ,0
18,Vai a fare in culo puttana,vai fare culo puttana,"['vai', 'fare', 'culo', 'puttana']", ,0.0,neu,maurizio.rovera, ,0
19,Belin,belin,['belin'], ,0.0,neu,biggywiggy1593, ,0
20,"Wonderful, so inspiring the colour is motivating ⛰👍🏻 #stonefluencer 😍😍😍🔥🔥🔥",wonder inspir colour motiv stonefluenc,"['wonder', 'inspir', 'colour', 'motiv', 'stonefluenc']",⛰👍🏻😍😍😍🔥🔥🔥,0.24793996113380534,neu,groznyitv, ,0
21,Captain of the family that knows cus am overboard,captain famili know cu overboard,"['captain', 'famili', 'know', 'cu', 'overboard']", ,0.0,neu,samsonturnerton, ,0
22,Подрабатываешь гондольером получается ?🔥, ,[],🔥,0.1397849462365591,neu,battalov925, ,0
23,❤️❤️❤️🔥🔥🔥😍😍😍🙌🙌🙌🔥🔥❤️❤️❤️❤️❤️, ,[],❤❤❤🔥🔥🔥😍😍😍🙌🙌🙌🔥🔥❤❤❤❤❤,0.5464581911207388,neu,j.b_uttershambles69, ,0
24,lmfao who let u,lmfao let u,"['lmfao', 'let', 'u']", ,0.5423,pos,bulletprayers, ,0
